Time:5/29/2020 4:00:00 PM	Open:304.7700	Close:304.1900	Volume:3612288
Time:5/29/2020 3:59:00 PM	Open:304.8065	Close:304.7450	Volume:1013948
Time:5/29/2020 3:58:00 PM	Open:304.7200	Close:304.8100	Volume:872286
Time:5/29/2020 3:57:00 PM	Open:304.8000	Close:304.7100	Volume:639861
Time:5/29/2020 3:56:00 PM	Open:304.5800	Close:304.8000	Volume:669386
Time:5/29/2020 3:55:00 PM	Open:304.6300	Close:304.6200	Volume:783699
Time:5/29/2020 3:54:00 PM	Open:304.5500	Close:304.6333	Volume:631112
Time:5/29/2020 3:53:00 PM	Open:304.5900	Close:304.5900	Volume:793842
Time:5/29/2020 3:52:00 PM	Open:304.0200	Close:304.5800	Volume:1132777
Time:5/29/2020 3:51:00 PM	Open:303.4400	Close:304.0300	Volume:695096
Time:5/29/2020 3:50:00 PM	Open:303.5600	Close:303.4300	Volume:269422
Time:5/29/2020 3:49:00 PM	Open:303.7550	Close:303.5500	Volume:146505
Time:5/29/2020 3:48:00 PM	Open:303.9100	Close:303.7800	Volume:181731
Time:5/29/2020 3:47:00 PM	Open:303.7000	Close:303.9200	Volume:172149
Time:5/29/2020 3:46:00 PM	Open:303.9300	Close:303.7100	Volume:319747
Time:5/29/2020 3:45:00 PM	Open:303.7100	Close:304.0201	Volume:247321
Time:5/29/2020 3:44:00 PM	Open:303.7550	Close:303.7200	Volume:216644
Time:5/29/2020 3:43:00 PM	Open:303.7100	Close:303.7500	Volume:260909
Time:5/29/2020 3:42:00 PM	Open:303.8600	Close:303.7800	Volume:216902
Time:5/29/2020 3:41:00 PM	Open:303.8800	Close:303.9100	Volume:227174
Time:5/29/2020 3:40:00 PM	Open:303.6400	Close:303.8800	Volume:168415
Time:5/29/2020 3:39:00 PM	Open:303.5000	Close:303.6300	Volume:152121
Time:5/29/2020 3:38:00 PM	Open:303.6200	Close:303.4900	Volume:196590
Time:5/29/2020 3:37:00 PM	Open:303.6600	Close:303.6150	Volume:141179
Time:5/29/2020 3:36:00 PM	Open:303.5884	Close:303.6500	Volume:134135
Time:5/29/2020 3:35:00 PM	Open:303.6000	Close:303.5800	Volume:232529
Time:5/29/2020 3:34:00 PM	Open:303.9800	Close:303.6000	Volume:194326
Time:5/29/2020 3:33:00 PM	Open:303.8600	Close:303.9900	Volume:142643
Time:5/29/2020 3:32:00 PM	Open:304.0300	Close:303.8900	Volume:160384
Time:5/29/2020 3:31:00 PM	Open:303.6200	Close:304.0298	Volume:289068
Time:5/29/2020 3:30:00 PM	Open:303.7100	Close:303.6400	Volume:146939
Time:5/29/2020 3:29:00 PM	Open:303.8799	Close:303.7199	Volume:278264
Time:5/29/2020 3:28:00 PM	Open:303.9901	Close:303.8800	Volume:310873
Time:5/29/2020 3:27:00 PM	Open:304.1000	Close:303.9914	Volume:429973
Time:5/29/2020 3:26:00 PM	Open:304.2900	Close:304.0900	Volume:143426
Time:5/29/2020 3:25:00 PM	Open:303.9100	Close:304.3000	Volume:309178
Time:5/29/2020 3:24:00 PM	Open:304.0100	Close:303.9100	Volume:149206
Time:5/29/2020 3:23:00 PM	Open:303.6500	Close:304.0000	Volume:135947
Time:5/29/2020 3:22:00 PM	Open:304.1200	Close:303.6550	Volume:292184
Time:5/29/2020 3:21:00 PM	Open:303.7000	Close:304.1167	Volume:462819
Time:5/29/2020 3:20:00 PM	Open:303.6700	Close:303.7100	Volume:130139
Time:5/29/2020 3:19:00 PM	Open:303.4100	Close:303.6861	Volume:244510
Time:5/29/2020 3:18:00 PM	Open:303.5600	Close:303.3900	Volume:204526
Time:5/29/2020 3:17:00 PM	Open:303.3300	Close:303.5600	Volume:276289
Time:5/29/2020 3:16:00 PM	Open:303.5186	Close:303.3300	Volume:401715
Time:5/29/2020 3:15:00 PM	Open:303.8400	Close:303.5200	Volume:576322
Time:5/29/2020 3:14:00 PM	Open:303.8700	Close:303.8339	Volume:348483
Time:5/29/2020 3:13:00 PM	Open:304.0950	Close:303.8900	Volume:379024
Time:5/29/2020 3:12:00 PM	Open:304.0599	Close:304.0375	Volume:363645
Time:5/29/2020 3:11:00 PM	Open:303.8000	Close:304.0500	Volume:627943
Time:5/29/2020 3:10:00 PM	Open:303.8800	Close:303.8200	Volume:351061
Time:5/29/2020 3:09:00 PM	Open:304.1781	Close:303.8700	Volume:668751
Time:5/29/2020 3:08:00 PM	Open:303.8300	Close:304.0600	Volume:216835
Time:5/29/2020 3:07:00 PM	Open:304.0200	Close:303.8250	Volume:462998
Time:5/29/2020 3:06:00 PM	Open:304.4300	Close:304.0150	Volume:427602
Time:5/29/2020 3:05:00 PM	Open:304.0800	Close:304.4200	Volume:683539
Time:5/29/2020 3:04:00 PM	Open:304.1800	Close:304.0997	Volume:509383
Time:5/29/2020 3:03:00 PM	Open:303.6500	Close:304.1662	Volume:627454
Time:5/29/2020 3:02:00 PM	Open:303.7400	Close:303.6500	Volume:809165
Time:5/29/2020 3:01:00 PM	Open:303.5700	Close:304.1700	Volume:905591
Time:5/29/2020 3:00:00 PM	Open:303.2900	Close:303.5900	Volume:852076
Time:5/29/2020 2:59:00 PM	Open:302.2700	Close:303.2600	Volume:1435519
Time:5/29/2020 2:58:00 PM	Open:301.4300	Close:302.2700	Volume:983040
Time:5/29/2020 2:57:00 PM	Open:300.9600	Close:301.4300	Volume:483406
Time:5/29/2020 2:56:00 PM	Open:301.0950	Close:300.9400	Volume:693008
Time:5/29/2020 2:55:00 PM	Open:300.2000	Close:301.1150	Volume:1098333
Time:5/29/2020 2:54:00 PM	Open:300.5700	Close:300.2000	Volume:573706
Time:5/29/2020 2:53:00 PM	Open:300.8000	Close:300.5700	Volume:1009999
Time:5/29/2020 2:52:00 PM	Open:301.1350	Close:300.8100	Volume:419424
Time:5/29/2020 2:51:00 PM	Open:301.5900	Close:301.1400	Volume:776274
Time:5/29/2020 2:50:00 PM	Open:302.2150	Close:301.5920	Volume:308241
Time:5/29/2020 2:49:00 PM	Open:302.2600	Close:302.2200	Volume:106244
Time:5/29/2020 2:48:00 PM	Open:302.2100	Close:302.2557	Volume:225566
Time:5/29/2020 2:47:00 PM	Open:302.3900	Close:302.2000	Volume:122742
Time:5/29/2020 2:46:00 PM	Open:302.2300	Close:302.3900	Volume:125721
Time:5/29/2020 2:45:00 PM	Open:302.3400	Close:302.2200	Volume:148586
Time:5/29/2020 2:44:00 PM	Open:302.4700	Close:302.3400	Volume:82343
Time:5/29/2020 2:43:00 PM	Open:302.5200	Close:302.4700	Volume:69586
Time:5/29/2020 2:42:00 PM	Open:302.5975	Close:302.5115	Volume:37699
Time:5/29/2020 2:41:00 PM	Open:302.3901	Close:302.5900	Volume:76033
Time:5/29/2020 2:40:00 PM	Open:302.5900	Close:302.4000	Volume:128846
